Period,Quarter,Recipient Name,City,Province,Country,Title,Language,Genre,Date,Final Value,Original Value,Type,Purpose,Comments
2009-2010,P1,Woodfall Films Inc.,Vancouver,British Columbia,Canada,Virtual Life,English,Comedy,2009-04-02,31872.00,11822.00,Recoupable Advance,Development Program,Amended contract signed  21-OCT-08
2009-2010,P1,Cité-Amérique Inc.,Montreal,Quebec,Canada,Soeur Marie-Thérèse des Batignolles,French,Comedy,2009-04-03,35386.00,17200.00,Recoupable Advance,Development Program,Amended contract signed  28-JUN-07
2009-2010,P1,Love Child Productions Inc.,Toronto,Ontario,Canada,"Con Artist, The",English,Comedy,2009-04-03,2967000.00,2820000.00,Investment,Production Program,Amended contract signed  18-FEB-09
2009-2010,P1,Studio Max Films Inc.,Montreal,Quebec,Canada,Shameless (aka Mischief),English,Drama,2009-04-06,97947.00,42000.00,Recoupable Advance,Development Program,Amended contract signed  24-AUG-05
2009-2010,P1,Figura Films Inc.,Montreal,Quebec,Canada,VEUFS (LES),French,Drama (Film),2009-04-07,18753.00,20000.00,Recoupable Advance,Development Program,Amended contract signed  15-FEB-08
2009-2010,P1,Cinémaginaire inc.,Montreal,Quebec,Canada,Passion (Grou),English,Drama (Film),2009-04-09,68125.00,73584.00,Recoupable Advance,Development Program,Amended contract signed  16-JAN-08
2009-2010,P1,MC2 Communication Média inc.,Montreal,Quebec,Canada,Ekimondo,French,Reference,2009-04-09,264140.00,150000.00,Recoupable Advance,Production Program (Canada New Media Fund),Amended contract signed  19-DEC-07
2009-2010,P1,Cinémaginaire Inc.,Montreal,Quebec,Canada,MOONSHINE LILY ,French,Historical Drama,2009-04-09,32685.00,34410.00,Recoupable Advance,Development Program,Amended contract signed  20-NOV-06
2009-2010,P1,Mongrel Media Inc.,Toronto,Ontario,Canada,Forgotten Woman (The),English,Documentary,2009-04-10,24216.00,57428.00,Recoupable Advance,Marketing Program,Amended contract signed  08-JUL-08
2009-2010,P1,PUNK Films Inc.,Toronto,Ontario,Canada,Only,English,Drama,2009-04-10,30000.00,30000.00,Recoupable Advance,Marketing Program,
